Aspectos_Negativos(%),Brasil,Rio_de_Janeiro,Sao_Paulo,Porto_Alegre
Limpeza pública,12.14,14.76,15.18,9.17
Rodovias,13.09,0,0,6.59
Comunicações,10.55,17.84,11.41,7.14
Sinalização turística,15.78,15.2,17.2,15.38
Segurança pública,9.05,12.55,15.42,7.73
Transporte urbano,7.71,7.28,11.99,5.51
Informações turísticas,5.35,3.22,8.33,-
Táxis,5.82,4.58,5,4.58
Aeroportos,0,0,0,0
Comércio,0,0,0,0
Guias de turismo,2.78,3.07,5.63,-
Restaurantes,0.79,0.8,0.36,0.34
Hotelaria,1.71,2.69,0.58,-
Diversões noturnas,3.16,2.21,1.58,5.36
